Date,Open,High,Low,Close
04/10/2024,"38,662.28","38,662.28","38,304.66","38,461.51"
04/09/2024,"38,983.66","38,992.89","38,572.09","38,883.67"
04/08/2024,"38,916.42","39,013.20","38,857.70","38,892.80"
04/05/2024,"38,664.98","39,040.17","38,602.18","38,904.04"
04/04/2024,"39,343.60","39,421.35","38,559.42","38,596.98"
04/03/2024,"39,139.59","39,305.76","39,017.13","39,127.14"
04/02/2024,"39,256.27","39,256.27","39,051.70","39,170.24"
04/01/2024,"39,807.93","39,815.00","39,491.22","39,566.85"
03/28/2024,"39,763.74","39,868.59","39,717.25","39,807.37"
03/27/2024,"39,461.98","39,769.41","39,461.98","39,760.08"
03/26/2024,"39,338.32","39,439.44","39,277.19","39,282.33"
03/25/2024,"39,410.54","39,430.17","39,296.03","39,313.64"
03/22/2024,"39,774.06","39,824.76","39,469.53","39,475.90"
03/21/2024,"39,661.03","39,889.05","39,589.23","39,781.37"
